gen,nevals,best_ind,best_fit
0,50,"[1.311564424360814, 0.36650120873394865, 723, 'saga', 'elasticnet']",0.9523809523809523
1,50,"[1.311564424360814, 0.36650120873394865, 723, 'saga', 'elasticnet']",0.9523809523809523
2,50,"[1.311564424360814, 0.36650120873394865, 58, 'saga', 'elasticnet']",0.9523809523809523
3,50,"[2.142470987188339, 0.07431953233098199, 691, 'saga', 'elasticnet']",0.9523809523809523
4,50,"[1.2171518017797067, 0.4054749228204292, 285, 'saga', 'elasticnet']",0.9523809523809523
5,50,"[1.311564424360814, 0.3381152369800394, 292, 'saga', 'elasticnet']",0.9523809523809523
0,50,"[1.644933666065254, 0.7012050843497201, 95, 'saga', 'elasticnet']",0.9523809523809523
1,50,"[1.644933666065254, 0.7012050843497201, 95, 'saga', 'elasticnet']",0.9523809523809523
2,50,"[1.644933666065254, 0.7012050843497201, 95, 'saga', 'elasticnet']",0.9523809523809523
3,50,"[1.771829357305684, 0.13897554828616498, 101, 'saga', 'elasticnet']",0.9523809523809523
4,50,"[1.644933666065254, 0.7231010940399194, 95, 'saga', 'elasticnet']",0.9523809523809523
5,50,"[1.644933666065254, 0.2872243328026154, 95, 'saga', 'l2']",0.9523809523809523
0,50,"[1.6532416704697876, 0.6501098407333744, 214, 'saga', 'elasticnet']",0.9523809523809523
1,50,"[1.6532416704697876, 0.6501098407333744, 409, 'saga', 'elasticnet']",0.9523809523809523
2,50,"[1.6532416704697876, 0.6501098407333744, 409, 'saga', 'elasticnet']",0.9523809523809523
3,50,"[1.6532416704697876, 0.6501098407333744, 409, 'saga', 'elasticnet']",0.9523809523809523
4,50,"[1.6532416704697876, 0.6501098407333744, 409, 'saga', 'elasticnet']",0.9523809523809523
5,50,"[1.6532416704697876, 0.4705191655232571, 601, 'saga', 'elasticnet']",0.9523809523809523
